#DescID	MeSH	CompStatus	TGSize	TG+	TG-	T+uniq	Common	B+uniq	BG+	BG-	BGSize	TG-Ratio	BG-Ratio	TG-R/BG-R	P-value
7229	Friedreich Ataxia	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
16619	Receptors, Kainic Acid	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
13988	Nitric Oxide Synthase Type I	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
11252	Nitroso Compounds	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
17571	Excitatory Amino Acid Agonists	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
16618	Receptors, AMPA	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
15351	Amyloid beta-Protein	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
13106	Cytochrome c Group	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
12276	Melatonin	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
12779	Electron Transport Complex IV	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
21745	Electron Transport	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
592	Nervous System	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
10478	Ascorbic Acid	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
21878	Homeostasis	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
17808	Fluorescent Dyes	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
16719	Proto-Oncogene Proteins	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
21746	Energy Metabolism	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
21727	Biological Transport	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
12343	Adenosine Triphosphate	1	172	3	169	0	0	0	0	168	168	0.02	0.00	bZero	2.479e-01
19515	Survival Rate	1	172	4	168	4	0	8	8	160	168	0.02	0.05	0.5	2.535e-01
1540	Mice, Inbred C57BL	1	172	4	168	3	1	7	8	160	168	0.02	0.05	0.5	2.535e-01
7148	Parkinson Disease	1	172	19	153	18	1	11	12	156	168	0.11	0.07	1.5	2.592e-01
7288	Alzheimer Disease	1	172	20	152	18	2	11	13	155	168	0.12	0.08	1.5	2.727e-01
19669	Reverse Transcriptase Polymerase Chain Reaction	1	172	2	170	2	0	5	5	163	168	0.01	0.03	0.4	2.790e-01
7461	Motor Neuron Disease	1	172	6	166	6	0	10	10	158	168	0.03	0.06	0.6	3.158e-01
14870	Glutamic Acid	1	172	11	161	10	1	5	6	162	168	0.06	0.04	1.8	3.204e-01
20210	Motor Activity	1	172	3	169	3	0	6	6	162	168	0.02	0.04	0.5	3.322e-01
23525	Aged, 80 and over	1	172	3	169	3	0	6	6	162	168	0.02	0.04	0.5	3.322e-01
16728	Nerve Tissue Proteins	1	172	12	160	12	0	7	7	161	168	0.07	0.04	1.7	3.460e-01
17509	Cyclooxygenase Inhibitors	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
18606	Drug Delivery Systems	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
14730	Dinoprostone	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
7284	Stroke	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
6227	Brain Neoplasms	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
22215	Polymorphism, Genetic	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
22550	Models, Molecular	1	172	1	171	1	0	3	3	165	168	0.01	0.02	0.3	3.670e-01
8758	Mitochondrial Diseases	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
19272	Electrophoresis, Gel, Two-Dimensional	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
9394	Superoxides	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
15217	Proto-Oncogene Proteins c-bcl-2	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
13987	Nitric Oxide Synthase	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
21612	Brain Chemistry	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
22156	Drug Interactions	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
19548	Risk Factors	1	172	4	168	4	0	1	1	167	168	0.02	0.01	3.9	3.715e-01
17679	Neuroprotective Agents	1	172	15	157	15	0	20	20	148	168	0.09	0.12	0.7	3.750e-01
18361	Blotting, Western	1	172	8	164	8	0	4	4	164	168	0.05	0.02	2.0	3.794e-01
9540	Nitric Oxide	1	172	9	163	9	0	5	5	163	168	0.05	0.03	1.8	4.145e-01
11520	Riluzole	1	172	2	170	2	0	4	4	164	168	0.01	0.02	0.5	4.442e-01
12823	Glial Fibrillary Acidic Protein	1	172	2	170	2	0	4	4	164	168	0.01	0.02	0.5	4.442e-01
17851	Oxidants	1	172	5	167	5	0	2	2	166	168	0.03	0.01	2.4	4.485e-01
1072	Cell Line, Tumor	1	172	5	167	4	1	1	2	166	168	0.03	0.01	2.4	4.485e-01
21618	Enzyme Activation	1	172	5	167	5	0	2	2	166	168	0.03	0.01	2.4	4.485e-01
15670	Excitatory Amino Acid Transporter 2	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
6519	Mitochondrial Encephalomyopathies	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
14920	Excitatory Amino Acids	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
9669	Peroxynitrous Acid	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
11803	alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
10632	Ethacrynic Acid	1	172	2	170	0	0	0	0	168	168	0.01	0.00	bZero	4.986e-01
