#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0006783	heme biosynthetic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006829	zinc ion transport	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0001539	ciliary or flagellar motility	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0008585	female gonad development	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006325	establishment and/or maintenance of chromatin architecture	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0042035	regulation of cytokine biosynthetic process	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0006590	thyroid hormone generation	399	2	397	0	555	555	1.747e-01	0.01	0.00	bZero
GO:0051881	regulation of mitochondrial membrane potential	399	6	393	3	552	555	1.762e-01	0.02	0.01	2.8
GO:0042981	regulation of apoptosis	399	17	382	15	540	555	2.048e-01	0.04	0.03	1.6
GO:0007010	cytoskeleton organization and biogenesis	399	2	397	8	547	555	2.069e-01	0.01	0.01	0.3
GO:0008635	caspase activation via cytochrome c	399	7	392	4	551	555	2.172e-01	0.02	0.01	2.4
GO:0051402	neuron apoptosis	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0006099	tricarboxylic acid cycle	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0006825	copper ion transport	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0008104	protein localization	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0008629	induction of apoptosis by intracellular signals	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0006520	amino acid metabolic process	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0042325	regulation of phosphorylation	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0048146	positive regulation of fibroblast proliferation	399	4	395	2	553	555	2.430e-01	0.01	0.00	2.8
GO:0043066	negative regulation of apoptosis	399	15	384	13	542	555	2.438e-01	0.04	0.02	1.6
GO:0006350	transcription	399	23	376	43	512	555	2.472e-01	0.06	0.08	0.7
GO:0007229	integrin\-mediated signaling pathway	399	1	398	6	549	555	2.493e-01	0.00	0.01	0.2
GO:0050679	positive regulation of epithelial cell proliferation	399	1	398	6	549	555	2.493e-01	0.00	0.01	0.2
GO:0006879	cellular iron ion homeostasis	399	7	392	5	550	555	2.554e-01	0.02	0.01	1.9
GO:0007243	protein kinase cascade	399	7	392	5	550	555	2.554e-01	0.02	0.01	1.9
GO:0009411	response to UV	399	7	392	5	550	555	2.554e-01	0.02	0.01	1.9
GO:0045786	negative regulation of cell cycle	399	7	392	5	550	555	2.554e-01	0.02	0.01	1.9
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	399	14	385	29	526	555	2.680e-01	0.04	0.05	0.7
GO:0007283	spermatogenesis	399	8	391	6	549	555	2.809e-01	0.02	0.01	1.9
GO:0043524	negative regulation of neuron apoptosis	399	8	391	6	549	555	2.809e-01	0.02	0.01	1.9
GO:0006120	mitochondrial electron transport\, NADH to ubiquinone	399	5	394	3	552	555	2.899e-01	0.01	0.01	2.3
GO:0008217	regulation of blood pressure	399	7	392	16	539	555	2.925e-01	0.02	0.03	0.6
GO:0045941	positive regulation of transcription	399	7	392	16	539	555	2.925e-01	0.02	0.03	0.6
GO:0009887	organ morphogenesis	399	7	392	16	539	555	2.925e-01	0.02	0.03	0.6
GO:0006006	glucose metabolic process	399	9	390	7	548	555	3.076e-01	0.02	0.01	1.8
GO:0006916	anti\-apoptosis	399	33	366	36	519	555	3.122e-01	0.08	0.06	1.3
GO:0043496	regulation of protein homodimerization activity	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0043497	regulation of protein heterodimerization activity	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0008637	apoptotic mitochondrial changes	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0030001	metal ion transport	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0010165	response to X\-ray	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0010332	response to gamma radiation	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0006268	DNA unwinding during replication	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0030503	regulation of cell redox homeostasis	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0006342	chromatin silencing	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0006476	protein amino acid deacetylation	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0016311	dephosphorylation	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0048008	platelet\-derived growth factor receptor signaling pathway	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0000077	DNA damage checkpoint	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0046854	phosphoinositide phosphorylation	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0007173	epidermal growth factor receptor signaling pathway	399	3	396	1	554	555	3.144e-01	0.01	0.00	4.2
GO:0006118	electron transport	399	34	365	37	518	555	3.174e-01	0.09	0.07	1.3
GO:0006936	muscle contraction	399	2	397	7	548	555	3.178e-01	0.01	0.01	0.4
GO:0009611	response to wounding	399	2	397	7	548	555	3.178e-01	0.01	0.01	0.4
GO:0019882	antigen processing and presentation	399	2	397	7	548	555	3.178e-01	0.01	0.01	0.4
GO:0007586	digestion	399	2	397	7	548	555	3.178e-01	0.01	0.01	0.4
GO:0009615	response to virus	399	5	394	13	542	555	3.347e-01	0.01	0.02	0.5
GO:0006810	transport	399	39	360	44	511	555	3.519e-01	0.10	0.08	1.2
GO:0006468	protein amino acid phosphorylation	399	32	367	36	519	555	3.743e-01	0.08	0.06	1.2
GO:0006968	cellular defense response	399	3	396	8	547	555	3.756e-01	0.01	0.01	0.5
GO:0007242	intracellular signaling cascade	399	19	380	34	521	555	3.930e-01	0.05	0.06	0.8
GO:0007159	leukocyte adhesion	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0045123	cellular extravasation	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0042157	lipoprotein metabolic process	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0008632	apoptotic program	399	7	392	6	549	555	4.068e-01	0.02	0.01	1.6
GO:0050729	positive regulation of inflammatory response	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0042088	T\-helper 1 type immune response	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0030301	cholesterol transport	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0009409	response to cold	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0040007	growth	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0007179	transforming growth factor beta receptor signaling pathway	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0045766	positive regulation of angiogenesis	399	1	398	4	551	555	4.068e-01	0.00	0.01	0.3
GO:0008544	epidermis development	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
GO:0006958	complement activation\, classical pathway	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
GO:0019370	leukotriene biosynthetic process	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
GO:0008202	steroid metabolic process	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
GO:0048010	vascular endothelial growth factor receptor signaling pathway	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
