#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level5	GO:0034358	plasma lipoprotein particle	399	1	398	5	550	555	4.098e-01	0.00	0.01	0.3
Level3	GO:0031982	vesicle	399	28	371	31	524	555	4.140e-01	0.07	0.06	1.3
Level4	GO:0045178	basal part of cell	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
Level5	GO:0005587	collagen type IV	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
Level5	GO:0030935	sheet\-forming collagen	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
Level5	GO:0009925	basal plasma membrane	399	1	398	0	555	555	4.182e-01	0.00	0.00	bZero
Level3	GO:0032993	protein\-DNA complex	399	4	395	3	552	555	4.605e-01	0.01	0.01	1.9
Level4	GO:0043025	cell soma	399	8	391	15	540	555	5.292e-01	0.02	0.03	0.7
Level3	GO:0005578	proteinaceous extracellular matrix	399	9	390	17	538	555	5.473e-01	0.02	0.03	0.7
Level2	GO:0031012	extracellular matrix	399	10	389	18	537	555	5.641e-01	0.03	0.03	0.8
Level5	GO:0045211	postsynaptic membrane	399	4	395	9	546	555	5.741e-01	0.01	0.02	0.6
Level4	GO:0008287	protein serine/threonine phosphatase complex	399	2	397	1	554	555	5.748e-01	0.01	0.00	2.8
Level5	GO:0005903	brush border	399	2	397	1	554	555	5.748e-01	0.01	0.00	2.8
Level2	GO:0032991	macromolecular complex	399	88	311	114	441	555	5.749e-01	0.22	0.21	1.1
Level4	GO:0031252	leading edge	399	5	394	10	545	555	6.036e-01	0.01	0.02	0.7
Level3	GO:0043234	protein complex	399	77	322	99	456	555	6.118e-01	0.19	0.18	1.1
Level3	GO:0032279	asymmetric synapse	399	1	398	3	552	555	6.441e-01	0.00	0.01	0.5
Level3	GO:0043228	non\-membrane\-bounded organelle	399	64	335	83	472	555	6.506e-01	0.16	0.15	1.1
Level5	GO:0042734	presynaptic membrane	399	3	396	3	552	555	6.987e-01	0.01	0.01	1.4
Level5	GO:0005626	insoluble fraction	399	3	396	3	552	555	6.987e-01	0.01	0.01	1.4
Level2	GO:0045202	synapse	399	17	382	21	534	555	7.390e-01	0.04	0.04	1.1
