#Symbol	HUGOID	Name	#Occur	#Paper	MatchString	PMIDs
NOX1	7889	NADPH oxidase 1	38	2	NOX1 | Nox1-deficient | 	17853944,18598679,
NOX3	7890	NADPH oxidase 3	1	1	Nox3 | 	17853944,
NOX4	7891	NADPH oxidase 4	1	1	Nox4 | 	17853944,
NOX5	14874	NADPH oxidase, EF-hand calcium binding domain 5	1	1	Nox5 | 	17853944,
NPC1	7897	Niemann-Pick disease, type C1	4	3	NPC1 | NP-C | 	15210305,18414597,18751914,
NPC2	14537	Niemann-Pick disease, type C2	2	2	NPC2 | 	18414597,18751914,
NPPA	7939	natriuretic peptide precursor A	3	1	NPPA | 	18513389,
NRF1	7996	nuclear respiratory factor 1	2	1	NRF-1 | 	18464922,
NRP1	8004	neuropilin 1	22	1	NRP | NRPs | NRP-1 | 	16104843,
NRP2	8005	neuropilin 2	9	1	NRP-2 | 	16104843,
NT3	8020	3'-nucleotidase	1	1	NT-3 | 	16624536,
NTF3	8023	neurotrophin 3	1	1	NT-3 | 	15572176,
NTF4	8024	neurotrophin 4	2	1	NT-4 | NT-4/5 | 	15572176,
NTRK1	8031	neurotrophic tyrosine kinase, receptor, type 1	5	2	trkA | TrkA | Trk | 	11173059,15572176,
NUDT6	8053	nudix (nucleoside diphosphate linked moiety X)-type motif 6	4	3	bFGF | 	11173059,15081582,16624536,
PAFAH1B1	8574	platelet-activating factor acetylhydrolase, isoform Ib, alpha subunit 45kDa	5	1	MDS | LIS-1 | 	16647138,
PAIP2	17970	poly(A) binding protein interacting protein 2	2	1	PAIP2 | 	16104843,
PARP1	270	poly (ADP-ribose) polymerase family, member 1	11	1	PARP | 	18436268,
PAX7	8621	paired box 7	1	1	Pax7 | 	15657392,
PDGFA	8799	platelet-derived growth factor alpha polypeptide	1	1	PDGF | 	16104843,
PDIA2	14180	protein disulfide isomerase family A, member 2	3	1	PDI | 	17678953,
PDPK1	8816	3-phosphoinositide dependent protein kinase-1	2	1	PDK1 | 	16104843,
PGF	8893	placental growth factor	42	2	PGF | PlGF-2 | 	16104843,16647138,
PHB2	30306	prohibitin 2	2	1	p22 | BAP | 	18598679,
PIK3CA	8975	phosphoinositide-3-kinase, catalytic, alpha polypeptide	12	2	PI3-kinase | PI3K | PI3K-dependent | 	16104843,16647138,
PIK3R4	8982	phosphoinositide-3-kinase, regulatory subunit 4	2	1	p150 | 	17015226,
PIN1	8988	peptidylprolyl cis/trans isomerase, NIMA-interacting 1	2	1	UBL5 | 	12417341,
PLCG1	9065	phospholipase C, gamma 1	8	2	PLC | 	16104843,16647138,
POLR3K	14121	polymerase (RNA) III (DNA directed) polypeptide K, 12.3 kDa	1	1	C-11 | 	16647138,
POMC	9201	proopiomelanocortin (adrenocorticotropin/ beta-lipotropin/ alpha-melanocyte stimulating hormone/ beta-melanocyte stimulating hormone/ beta-endorphin)	23	2	ACTH | MSH | 	17191135,17597167,
PON1	9204	paraoxonase 1	7	1	PON | PON1 | 	18513389,
PON2	9205	paraoxonase 2	3	1	PON2 | 	18513389,
PPARA	9232	peroxisome proliferator-activated receptor alpha	170	8	PPAR | PPAR-ligands | PPAR-A | PPARs | PPAR-independent | 	15649489,16120782,16753239,16766086,17569578,18384649,18464922,18464925,
PPARD	9235	peroxisome proliferator-activated receptor delta	13	3	FAAR | NUC-1 | PPAR-B | 	16753239,18464922,18464925,
PPARG	9236	peroxisome proliferator-activated receptor gamma	276	6	PPARgamma-independent | PPARgamma-immunoreactive | PPAR-G | PPARG | 	15649489,16753239,18312546,18464922,18464925,18513389,
PPARGC1A	9237	peroxisome proliferator-activated receptor gamma, coactivator 1 alpha	48	1	PGC-1 | 	18464922,
PRDX1	9352	peroxiredoxin 1	1	1	Prx-1 | 	17191135,
PRDX6	16753	peroxiredoxin 6	3	1	Prx | 	17191135,
PRKAA1	9376	protein kinase, AMP-activated, alpha 1 catalytic subunit	4	1	AMPK | 	18464922,
PRNP	9449	prion protein (p27-30) (Creutzfeldt-Jakob disease, Gerstmann-Strausler-Scheinker syndrome, fatal familial insomnia)	5	1	PrP | 	16647138,
PRPF6	15860	PRP6 pre-mRNA processing factor 6 homolog (S. cerevisiae)	1	1	TOM | 	17015226,
PSEN1	9508	presenilin 1 (Alzheimer disease 3)	28	4	PSEN1 | PS1 | PS-1 | 	11173059,14739060,15210305,17306794,
PSEN2	9509	presenilin 2 (Alzheimer disease 4)	8	2	PSEN2 | PS-2 | PS2 | 	11173059,14739060,
PSMB10	9538	proteasome (prosome, macropain) subunit, beta type, 10	1	1	MECL-1 | 	17008387,
PSMB8	9545	proteasome (prosome, macropain) subunit, beta type, 8 (large multifunctional peptidase 7)	16	1	LMP7 | 	17008387,
PSMB9	9546	proteasome (prosome, macropain) subunit, beta type, 9 (large multifunctional peptidase 2)	1	1	LMP2 | 	17008387,
PTGDR	9591	prostaglandin D2 receptor (DP)	8	1	DP1 | 	17574754,
PTGDS	9592	prostaglandin D2 synthase 21kDa (brain)	1	1	PGD2 | 	17901552,
PTGER1	9593	prostaglandin E receptor 1 (subtype EP1), 42kDa	22	2	EP1 | 	16647138,17574754,
PTGER2	9594	prostaglandin E receptor 2 (subtype EP2), 53kDa	45	4	EP2-like | EP2-deficient | 	15081582,16647138,17574754,17901552,
PTGER3	9595	prostaglandin E receptor 3 (subtype EP3)	28	2	EP3-deficient | 	16647138,17574754,
PTGER4	9596	prostaglandin E receptor 4 (subtype EP4)	8	2	EP4 | 	16647138,17574754,
PTGS1	9604	prostaglandin-endoperoxide synthase 1 (prostaglandin G/H synthase and cyclooxygenase)	160	7	COX-1 | COX-1-positive | PCOX-1 | COX-3 | 	14511332,15081582,15453089,16101543,16647138,17574754,18040778,
PTGS2	9605	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	859	26	COX-2 | COX-2- | COX-immunoreactivity | COX-2-negative | COX-dependent | COX-2-mediated | COX-2-generated | COX-derived | COX-isozyme-deficient | hCOX-2 | COX-2-inhibitor | COX-activity | COX-2-synthesized | COX-independent | COX-2-induced | COX-mediated | Cox-2 | COX-2-deficient | COX-2-specific | COX2 | COX-2-derived | COX-2-positive | 	11220737,12362410,14511332,14720207,15081582,15210305,15453089,15572176,15691215,15799549,15804265,15974901,16101543,16120782,16380619,16624536,16647138,16753239,16766086,17015226,17569578,17574754,17901552,18040778,18464922,18464925,
PTK2	9611	PTK2 protein tyrosine kinase 2	2	1	FAK | 	16104843,
RAB7A	9788	RAB7A, member RAS oncogene family	1	1	Rab7 | 	17015226,
RAC1	9801	ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)	2	2	rac1 | Rac1 | 	17853944,18598679,
RBP1	9919	retinol binding protein 1, cellular	3	1	CRBP1 | CRBP | 	15210305,
RCAN1	3040	regulator of calcineurin 1	3	1	DSCR1 | 	16104843,
RHOD	670	ras homolog gene family, member D	1	1	Rho | 	17997855,
RNF19A	13432	ring finger protein 19A	8	1	Dorfin | dorfin | 	12417341,
RPS6KB1	10436	ribosomal protein S6 kinase, 70kDa, polypeptide 1	2	1	S6K | 	16104843,
S100A6	10496	S100 calcium binding protein A6	1	1	S100A6 | 	15572176,
S100A8	10498	S100 calcium binding protein A8	3	1	MRP8 | 	12417341,
S100B	10500	S100 calcium binding protein B	7	1	S100B | 	16637591,
SCNN1A	10599	sodium channel, nonvoltage-gated 1 alpha	2	1	SCNN1A | 	18513389,
SDC1	10658	syndecan 1	8	1	CD138-positive | 	18539342,
SELE	10718	selectin E (endothelial adhesion molecule 1)	6	1	SELE | 	18513389,
SERPINH1	1546	serpin peptidase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	1	1	Hsp47 | 	17191135,
SETX	445	senataxin	1	1	ALS4 | 	15210305,
SHB	10838	Src homology 2 domain containing adaptor protein B	1	1	Shb | 	16104843,
SHC2	29869	SHC (Src homology 2 domain containing) transforming protein 2	1	1	Sck | 	16104843,
SIGLEC7	10876	sialic acid binding Ig-like lectin 7	3	1	p75 | 	17555556,
SIRT1	14929	sirtuin (silent mating type information regulation 2 homolog) 1 (S. cerevisiae)	3	1	SIRT1 | 	18464922,
SLC18A2	10935	solute carrier family 18 (vesicular monoamine), member 2	1	1	VMAT2 | 	15571972,
SLC1A1	10939	solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1	1	1	EAAT-3 | 	11173059,
SLC1A2	10940	solute carrier family 1 (glial high affinity glutamate transporter), member 2	49	9	GLT-1 | EAAT-2 | EAAT2 | GLT1 | 	11173059,15210305,15572176,16179515,16624536,17008387,17015226,18464925,18598679,
SLC1A3	10941	solute carrier family 1 (glial high affinity glutamate transporter), member 3	2	2	EAAT-1 | EAAT1 | 	11173059,15572176,
SLC1A6	10944	solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	1	1	EAAT-4 | 	11173059,
SLC1A7	10945	solute carrier family 1 (glutamate transporter), member 7	1	1	EAAT-5 | 	11173059,
SLC22A1	10963	solute carrier family 22 (organic cation transporter), member 1	1	1	Oct-1 | 	17191135,
SLC2A1	11005	solute carrier family 2 (facilitated glucose transporter), member 1	3	1	GLUT-1 | 	18464925,
SLC33A1	95	solute carrier family 33 (acetyl-CoA transporter), member 1	1	1	ACATN | 	17969353,
SLC6A3	11049	solute carrier family 6 (neurotransmitter transporter, dopamine), member 3	2	1	DAT | 	11173059,
SND1	30646	staphylococcal nuclease and tudor domain containing 1	1	1	P100 | 	15782606,
SOCS1	19383	suppressor of cytokine signaling 1	10	3	SOCS-1 | 	16120782,17555556,18464922,
SOCS3	19391	suppressor of cytokine signaling 3	17	3	SOCS-3 | 	16120782,17555556,18464922,
