#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
7378	Amyotrophic Lateral Sclerosis	168	91	77	8337	17752320	17760657	0.54	0.00	1153.9	2.643e-254
9166	Inflammation	168	65	103	55717	17704940	17760657	0.39	0.00	123.3	4.393e-116
7456	Neurodegenerative Diseases	168	28	140	5168	17755489	17760657	0.17	0.00	572.8	6.226e-68
14064	Superoxide Dismutase	168	35	133	26196	17734461	17760657	0.21	0.00	141.2	1.123e-63
753	Microglia	168	22	146	5795	17754862	17760657	0.13	0.00	401.3	3.800e-50
718	Spinal Cord	168	31	137	59022	17701635	17760657	0.18	0.00	55.5	5.851e-44
17679	Neuroprotective Agents	168	20	148	12617	17748040	17760657	0.12	0.00	167.6	4.002e-38
796	Motor Neurons	168	22	146	29190	17731467	17760657	0.13	0.00	79.7	8.563e-35
1577	Mice, Transgenic	168	24	144	45005	17715652	17760657	0.14	0.00	56.4	2.554e-34
9040	Disease Models, Animal	168	31	137	130525	17630132	17760657	0.18	0.01	25.1	1.649e-33
21769	Oxidative Stress	168	22	146	36507	17724150	17760657	0.13	0.00	63.7	1.107e-32
17379	Inflammation Mediators	168	13	155	7833	17752824	17760657	0.08	0.00	175.5	1.921e-25
9188	Nerve Degeneration	168	15	153	16657	17744000	17760657	0.09	0.00	95.2	3.238e-25
7461	Motor Neuron Disease	168	10	158	2643	17758014	17760657	0.06	0.00	400.0	1.999e-23
1529	Animals	168	95	73	4201052	13559605	17760657	0.57	0.24	2.4	8.607e-20
751	Neuroglia	168	11	157	19921	17740736	17760657	0.07	0.00	58.4	1.628e-16
9125	Disease Progression	168	14	154	53933	17706724	17760657	0.08	0.00	27.4	3.442e-16
7148	Parkinson Disease	168	12	156	32087	17728570	17760657	0.07	0.00	39.5	6.595e-16
7288	Alzheimer Disease	168	13	155	44336	17716321	17760657	0.08	0.00	31.0	8.660e-16
13817	Prostaglandin-Endoperoxide Synthases	168	9	159	12734	17747923	17760657	0.05	0.00	74.7	1.071e-14
1884	Mice	168	36	132	857637	16903020	17760657	0.21	0.05	4.4	4.474e-14
17736	Anti-Inflammatory Agents	168	11	157	37893	17722764	17760657	0.07	0.00	30.7	1.658e-13
752	Astrocytes	168	9	159	18304	17742353	17760657	0.05	0.00	52.0	2.680e-13
5377	Encephalitis	168	8	160	11168	17749489	17760657	0.05	0.00	75.7	2.979e-13
7092	Nervous System Diseases	168	10	158	28283	17732374	17760657	0.06	0.00	37.4	3.140e-13
7098	Multiple Sclerosis	168	10	158	29352	17731305	17760657	0.06	0.00	36.0	4.511e-13
7128	Central Nervous System Diseases	168	8	160	13598	17747059	17760657	0.05	0.00	62.2	1.411e-12
13819	Cyclooxygenase 2	168	7	161	10778	17749879	17760657	0.04	0.00	68.7	1.842e-11
11520	Riluzole	168	4	164	528	17760129	17760657	0.02	0.00	800.9	2.539e-11
21374	Cell Death	168	8	160	20335	17740322	17760657	0.05	0.00	41.6	3.340e-11
593	Central Nervous System	168	9	159	32753	17727904	17760657	0.05	0.00	29.0	4.482e-11
21375	Apoptosis	168	13	155	107008	17653649	17760657	0.08	0.01	12.8	4.908e-11
9142	Gliosis	168	5	163	2426	17758231	17760657	0.03	0.00	217.9	4.932e-11
760	Neurons	168	15	153	163200	17597457	17760657	0.09	0.01	9.7	7.234e-11
594	Brain	168	19	149	295379	17465278	17760657	0.11	0.02	6.8	8.073e-11
19641	Gene Expression Profiling	168	8	160	32773	17727884	17760657	0.05	0.00	25.8	1.376e-09
8844	Autoimmune Diseases	168	8	160	34418	17726239	17760657	0.05	0.00	24.6	2.009e-09
1837	Humans	168	132	36	10202172	7558485	17760657	0.79	0.57	1.4	1.156e-08
7602	Neuromuscular Diseases	168	5	163	7773	17752884	17760657	0.03	0.00	68.0	1.592e-08
18371	Immunohistochemistry	168	13	155	177182	17583475	17760657	0.08	0.01	7.8	1.952e-08
19689	Skin Window Technique	168	3	165	576	17760081	17760657	0.02	0.00	550.6	2.665e-08
14870	Glutamic Acid	168	6	162	23951	17736706	17760657	0.04	0.00	26.5	1.424e-07
21412	Cell Survival	168	9	159	84639	17676018	17760657	0.05	0.00	11.2	1.516e-07
14970	Cytokines	168	8	160	62910	17697747	17760657	0.05	0.00	13.4	1.992e-07
7129	Brain Diseases	168	7	161	42744	17717913	17760657	0.04	0.00	17.3	2.202e-07
17498	Antioxidants	168	7	161	44005	17716652	17760657	0.04	0.00	16.8	2.673e-07
15126	Nerve Growth Factors	168	5	163	15281	17745376	17760657	0.03	0.00	34.6	4.410e-07
7546	Muscular Atrophy	168	4	164	6850	17753807	17760657	0.02	0.00	61.7	6.745e-07
5386	Myelitis	168	3	165	1951	17758706	17760657	0.02	0.00	162.6	1.018e-06
21454	Autoimmunity	168	4	164	7717	17752940	17760657	0.02	0.00	54.8	1.079e-06
16728	Nerve Tissue Proteins	168	7	161	54946	17705711	17760657	0.04	0.00	13.5	1.160e-06
21577	Up-Regulation	168	6	162	35732	17724925	17760657	0.04	0.00	17.8	1.432e-06
19515	Survival Rate	168	8	160	83690	17676967	17760657	0.05	0.00	10.1	1.656e-06
12823	Glial Fibrillary Acidic Protein	168	4	164	9250	17751407	17760657	0.02	0.00	45.7	2.203e-06
10944	Minocycline	168	3	165	2708	17757949	17760657	0.02	0.00	117.1	2.706e-06
16808	PPAR gamma	168	3	165	2762	17757895	17760657	0.02	0.00	114.8	2.870e-06
19204	Rotarod Performance Test	168	2	166	259	17760398	17760657	0.01	0.00	816.4	3.013e-06
19344	Coculture Techniques	168	4	164	10092	17750565	17760657	0.02	0.00	41.9	3.101e-06
15064	Tumor Necrosis Factor-alpha	168	7	161	64760	17695897	17760657	0.04	0.00	11.4	3.391e-06
13635	Isoenzymes	168	7	161	68747	17691910	17760657	0.04	0.00	10.8	4.992e-06
6529	Muscular Dystrophies	168	4	164	11697	17748960	17760657	0.02	0.00	36.2	5.530e-06
7108	Polyradiculoneuropathy	168	3	165	3510	17757147	17760657	0.02	0.00	90.4	5.857e-06
24758	Guam	168	2	166	440	17760217	17760657	0.01	0.00	480.5	8.645e-06
20210	Motor Activity	168	6	162	50369	17710288	17760657	0.04	0.00	12.6	1.003e-05
19292	Oligonucleotide Array Sequence Analysis	168	5	163	29527	17731130	17760657	0.03	0.00	17.9	1.065e-05
21350	Signal Transduction	168	9	159	146440	17614217	17760657	0.05	0.01	6.5	1.283e-05
16804	Peroxisome Proliferator-Activated Receptors	168	2	166	583	17760074	17760657	0.01	0.00	362.7	1.514e-05
1540	Mice, Inbred C57BL	168	8	160	115423	17645234	17760657	0.05	0.01	7.3	1.683e-05
16377	Receptor, Cannabinoid, CB2	168	2	166	616	17760041	17760657	0.01	0.00	343.2	1.689e-05
22546	Models, Immunological	168	3	165	5155	17755502	17760657	0.02	0.00	61.5	1.833e-05
13520	Caspases	168	4	164	18293	17742364	17760657	0.02	0.00	23.1	3.151e-05
719	Anterior Horn Cells	168	2	166	846	17759811	17760657	0.01	0.00	249.9	3.177e-05
7106	Encephalomyelitis, Autoimmune, Experimental	168	3	165	6241	17754416	17760657	0.02	0.00	50.8	3.228e-05
7140	Huntington Disease	168	3	165	6779	17753878	17760657	0.02	0.00	46.8	4.121e-05
18407	Microdissection	168	2	166	1010	17759647	17760657	0.01	0.00	209.3	4.521e-05
7426	Demyelinating Diseases	168	3	165	8078	17752579	17760657	0.02	0.00	39.3	6.909e-05
21539	Gene Expression	168	7	161	104212	17656445	17760657	0.04	0.01	7.1	6.944e-05
19352	Cell Count	168	5	163	45178	17715479	17760657	0.03	0.00	11.7	7.930e-05
17569	Endocannabinoids	168	2	166	1367	17759290	17760657	0.01	0.00	154.7	8.258e-05
21543	Gene Expression Regulation	168	7	161	111072	17649585	17760657	0.04	0.01	6.7	1.028e-04
13527	Caspase 1	168	2	166	1593	17759064	17760657	0.01	0.00	132.7	1.119e-04
1578	Mice, Knockout	168	5	163	48870	17711787	17760657	0.03	0.00	10.8	1.142e-04
9539	Free Radicals	168	4	164	25747	17734910	17760657	0.02	0.00	16.4	1.170e-04
