#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level5	GO:0016755	transferase activity\, transferring amino\-acyl groups	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0003729	mRNA binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0005548	phospholipid transporter activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0019865	immunoglobulin binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0008483	transaminase activity	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0016847	1\-aminocyclopropane\-1\-carboxylate synthase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0008139	nuclear localization sequence binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0031625	ubiquitin protein ligase binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0051059	NF\-kappaB binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0003725	double\-stranded RNA binding	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0016706	oxidoreductase activity\, acting on paired donors\, with incorporation or reduction of molecular oxygen\, 2\-oxoglutarate as one donor\, and incorporation of one atom each of oxygen into both donors	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0043425	bHLH transcription factor binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016646	oxidoreductase activity\, acting on the CH\-NH group of donors\, NAD or NADP as acceptor	399	1	398	2	553	555	1.000e+00	0.00	0.00	0.7
Level5	GO:0004796	thromboxane\-A synthase activity	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016918	retinal binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0019841	retinol binding	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
Level5	GO:0016681	oxidoreductase activity\, acting on diphenols and related substances as donors\, cytochrome as acceptor	399	1	398	1	554	555	1.000e+00	0.00	0.00	1.4
