#Level	GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
Level3	GO:0043028	caspase regulator activity	399	4	395	4	551	555	7.259e-01	0.01	0.01	1.4
Level3	GO:0005201	extracellular matrix structural constituent	399	4	395	4	551	555	7.259e-01	0.01	0.01	1.4
Level5	GO:0030165	PDZ domain binding	399	4	395	4	551	555	7.259e-01	0.01	0.01	1.4
Level5	GO:0016811	hydrolase activity\, acting on carbon\-nitrogen (but not peptide) bonds\, in linear amides	399	4	395	4	551	555	7.259e-01	0.01	0.01	1.4
Level3	GO:0030695	GTPase regulator activity	399	3	396	6	549	555	7.419e-01	0.01	0.01	0.7
Level4	GO:0016835	carbon\-oxygen lyase activity	399	3	396	6	549	555	7.419e-01	0.01	0.01	0.7
Level4	GO:0016810	hydrolase activity\, acting on carbon\-nitrogen (but not peptide) bonds	399	5	394	5	550	555	7.496e-01	0.01	0.01	1.4
Level5	GO:0050664	oxidoreductase activity\, acting on NADH or NADPH\, with oxygen as acceptor	399	5	394	5	550	555	7.496e-01	0.01	0.01	1.4
Level5	GO:0016758	transferase activity\, transferring hexosyl groups	399	5	394	5	550	555	7.496e-01	0.01	0.01	1.4
Level3	GO:0022892	substrate\-specific transporter activity	399	43	356	64	491	555	7.557e-01	0.11	0.12	0.9
Level3	GO:0043176	amine binding	399	4	395	7	548	555	7.695e-01	0.01	0.01	0.8
Level5	GO:0016709	oxidoreductase activity\, acting on paired donors\, with incorporation or reduction of molecular oxygen\, NADH or NADPH as one donor\, and incorporation of one atom of oxygen	399	4	395	7	548	555	7.695e-01	0.01	0.01	0.8
Level3	GO:0008289	lipid binding	399	22	377	28	527	555	7.698e-01	0.06	0.05	1.1
Level4	GO:0005529	sugar binding	399	4	395	8	547	555	7.700e-01	0.01	0.01	0.7
Level5	GO:0043565	sequence\-specific DNA binding	399	22	377	34	521	555	7.805e-01	0.06	0.06	0.9
Level3	GO:0050824	water binding	399	7	392	8	547	555	7.939e-01	0.02	0.01	1.2
Level4	GO:0050825	ice binding	399	7	392	8	547	555	7.939e-01	0.02	0.01	1.2
Level5	GO:0005275	amine transmembrane transporter activity	399	7	392	8	547	555	7.939e-01	0.02	0.01	1.2
Level4	GO:0005496	steroid binding	399	8	391	10	545	555	8.143e-01	0.02	0.02	1.1
Level4	GO:0046983	protein dimerization activity	399	37	362	49	506	555	8.196e-01	0.09	0.09	1.1
