#GOID	GOTerm	t-total	t+	t-	b+	b-	b-total	p-value	t-ratio	b-ratio	(t-ratio)/(b-ratio)
GO:0006281	DNA repair	399	34	365	13	542	555	2.470e-05	0.09	0.02	3.6
GO:0006974	response to DNA damage stimulus	399	40	359	19	536	555	5.497e-05	0.10	0.03	2.9
GO:0007166	cell surface receptor linked signal transduction	399	61	338	144	411	555	8.483e-05	0.15	0.26	0.6
GO:0006259	DNA metabolic process	399	56	343	36	519	555	1.361e-04	0.14	0.06	2.2
GO:0006955	immune response	399	31	368	85	470	555	4.115e-04	0.08	0.15	0.5
GO:0006260	DNA replication	399	24	375	10	545	555	6.538e-04	0.06	0.02	3.3
GO:0007186	G\-protein coupled receptor protein signaling pathway	399	20	379	63	492	555	6.539e-04	0.05	0.11	0.4
GO:0009611	response to wounding	399	38	361	93	462	555	1.575e-03	0.10	0.17	0.6
GO:0006310	DNA recombination	399	19	380	7	548	555	1.858e-03	0.05	0.01	3.8
GO:0007187	G\-protein signaling\, coupled to cyclic nucleotide second messenger	399	1	398	16	539	555	1.930e-03	0.00	0.03	0.1
GO:0009605	response to external stimulus	399	58	341	124	431	555	2.600e-03	0.15	0.22	0.7
GO:0007165	signal transduction	399	153	246	266	289	555	3.610e-03	0.38	0.48	0.8
GO:0002376	immune system process	399	51	348	108	447	555	6.347e-03	0.13	0.19	0.7
GO:0006631	fatty acid metabolic process	399	8	391	30	525	555	7.292e-03	0.02	0.05	0.4
GO:0006302	double\-strand break repair	399	14	385	5	550	555	7.881e-03	0.04	0.01	3.9
GO:0006629	lipid metabolic process	399	32	367	75	480	555	9.102e-03	0.08	0.14	0.6
GO:0007126	meiosis	399	9	390	2	553	555	1.057e-02	0.02	0.00	6.3
GO:0051327	M phase of meiotic cell cycle	399	9	390	2	553	555	1.057e-02	0.02	0.00	6.3
GO:0051321	meiotic cell cycle	399	9	390	2	553	555	1.057e-02	0.02	0.00	6.3
GO:0006508	proteolysis	399	22	377	56	499	555	1.168e-02	0.06	0.10	0.5
GO:0007049	cell cycle	399	44	355	35	520	555	1.200e-02	0.11	0.06	1.7
GO:0007131	meiotic recombination	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0007127	meiosis I	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0006312	mitotic recombination	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0000724	double\-strand break repair via homologous recombination	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0000725	recombinational repair	399	5	394	0	555	555	1.261e-02	0.01	0.00	bZero
GO:0022403	cell cycle phase	399	24	375	15	540	555	1.271e-02	0.06	0.03	2.2
GO:0006954	inflammatory response	399	32	367	73	482	555	1.554e-02	0.08	0.13	0.6
GO:0007155	cell adhesion	399	26	373	62	493	555	1.685e-02	0.07	0.11	0.6
GO:0022610	biological adhesion	399	26	373	62	493	555	1.685e-02	0.07	0.11	0.6
GO:0019933	cAMP\-mediated signaling	399	1	398	11	544	555	1.797e-02	0.00	0.02	0.1
GO:0032501	multicellular organismal process	399	174	225	286	269	555	1.802e-02	0.44	0.52	0.8
GO:0007154	cell communication	399	184	215	299	256	555	1.831e-02	0.46	0.54	0.9
GO:0019935	cyclic\-nucleotide\-mediated signaling	399	3	396	17	538	555	1.958e-02	0.01	0.03	0.2
GO:0000723	telomere maintenance	399	8	391	2	553	555	2.053e-02	0.02	0.00	5.6
GO:0032200	telomere organization and biogenesis	399	8	391	2	553	555	2.053e-02	0.02	0.00	5.6
GO:0019932	second\-messenger\-mediated signaling	399	12	387	35	520	555	2.248e-02	0.03	0.06	0.5
GO:0006275	regulation of DNA replication	399	6	393	1	554	555	2.363e-02	0.02	0.00	8.3
GO:0051052	regulation of DNA metabolic process	399	14	385	7	548	555	2.459e-02	0.04	0.01	2.8
GO:0043283	biopolymer metabolic process	399	176	223	205	350	555	2.713e-02	0.44	0.37	1.2
GO:0006750	glutathione biosynthetic process	399	4	395	0	555	555	3.033e-02	0.01	0.00	bZero
GO:0006952	defense response	399	45	354	91	464	555	3.058e-02	0.11	0.16	0.7
GO:0006979	response to oxidative stress	399	28	371	21	534	555	3.635e-02	0.07	0.04	1.9
GO:0001501	skeletal development	399	5	394	19	536	555	3.690e-02	0.01	0.03	0.4
GO:0009314	response to radiation	399	16	383	9	546	555	3.773e-02	0.04	0.02	2.5
GO:0006284	base\-excision repair	399	7	392	2	553	555	3.936e-02	0.02	0.00	4.9
GO:0006261	DNA\-dependent DNA replication	399	7	392	2	553	555	3.936e-02	0.02	0.00	4.9
GO:0045087	innate immune response	399	4	395	17	538	555	4.219e-02	0.01	0.03	0.3
GO:0051726	regulation of cell cycle	399	22	377	16	539	555	4.476e-02	0.06	0.03	1.9
GO:0051186	cofactor metabolic process	399	23	376	17	538	555	4.886e-02	0.06	0.03	1.9
GO:0006732	coenzyme metabolic process	399	17	382	11	544	555	5.082e-02	0.04	0.02	2.1
GO:0048584	positive regulation of response to stimulus	399	5	394	18	537	555	5.467e-02	0.01	0.03	0.4
GO:0007275	multicellular organismal development	399	129	270	213	342	555	5.574e-02	0.32	0.38	0.8
GO:0000279	M phase	399	18	381	12	543	555	5.827e-02	0.05	0.02	2.1
GO:0048646	anatomical structure formation	399	15	384	37	518	555	5.981e-02	0.04	0.07	0.6
GO:0051881	regulation of mitochondrial membrane potential	399	8	391	3	552	555	6.039e-02	0.02	0.01	3.7
GO:0050878	regulation of body fluid levels	399	4	395	16	539	555	6.451e-02	0.01	0.03	0.3
GO:0006139	nucleobase\, nucleoside\, nucleotide and nucleic acid metabolic process	399	128	271	147	408	555	6.998e-02	0.32	0.26	1.2
GO:0006536	glutamate metabolic process	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0032981	mitochondrial respiratory chain complex I assembly	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0033108	mitochondrial respiratory chain complex assembly	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0010257	NADH dehydrogenase complex assembly	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0000019	regulation of mitotic recombination	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0006303	double\-strand break repair via nonhomologous end joining	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0000726	non\-recombinational repair	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0006266	DNA ligation	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0000084	S phase of mitotic cell cycle	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0051320	S phase	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0060048	cardiac muscle contraction	399	3	396	0	555	555	7.284e-02	0.01	0.00	bZero
GO:0022402	cell cycle process	399	27	372	22	533	555	7.335e-02	0.07	0.04	1.7
GO:0007596	blood coagulation	399	3	396	13	542	555	7.371e-02	0.01	0.02	0.3
GO:0007599	hemostasis	399	3	396	13	542	555	7.371e-02	0.01	0.02	0.3
GO:0050817	coagulation	399	3	396	13	542	555	7.371e-02	0.01	0.02	0.3
GO:0006767	water\-soluble vitamin metabolic process	399	6	393	2	553	555	7.413e-02	0.02	0.00	4.2
GO:0044255	cellular lipid metabolic process	399	30	369	62	493	555	7.476e-02	0.08	0.11	0.7
GO:0008284	positive regulation of cell proliferation	399	22	377	48	507	555	7.783e-02	0.06	0.09	0.6
GO:0009887	organ morphogenesis	399	31	368	63	492	555	7.785e-02	0.08	0.11	0.7
GO:0032787	monocarboxylic acid metabolic process	399	15	384	36	519	555	7.937e-02	0.04	0.06	0.6
GO:0042060	wound healing	399	5	394	17	538	555	8.043e-02	0.01	0.03	0.4
GO:0002253	activation of immune response	399	2	397	10	545	555	8.501e-02	0.01	0.02	0.3
GO:0050778	positive regulation of immune response	399	2	397	10	545	555	8.501e-02	0.01	0.02	0.3
GO:0048856	anatomical structure development	399	129	270	210	345	555	8.655e-02	0.32	0.38	0.9
GO:0006289	nucleotide\-excision repair	399	5	394	1	554	555	8.782e-02	0.01	0.00	7.0
GO:0051053	negative regulation of DNA metabolic process	399	5	394	1	554	555	8.782e-02	0.01	0.00	7.0
GO:0010212	response to ionizing radiation	399	5	394	1	554	555	8.782e-02	0.01	0.00	7.0
GO:0042981	regulation of apoptosis	399	84	315	92	463	555	9.046e-02	0.21	0.17	1.3
