#DescID	MeSH	CorpusSize	t+	t-	b+	b-	WholeSize	t-Ratio	b-Ratio	t-ratio/b-ratio	P-value
594	Brain	172	21	151	295379	17465278	17760657	0.12	0.02	7.3	1.897e-12
14054	Glutathione Peroxidase	172	7	165	10312	17750345	17760657	0.04	0.00	70.1	1.601e-11
9393	Hydrogen Peroxide	172	9	163	28884	17731773	17760657	0.05	0.00	32.2	1.843e-11
16973	DNA, Mitochondrial	172	8	164	19722	17740935	17760657	0.05	0.00	41.9	3.172e-11
15308	Glutathione	172	9	163	34475	17726182	17760657	0.05	0.00	27.0	8.648e-11
7140	Huntington Disease	172	6	166	6779	17753878	17760657	0.03	0.00	91.4	9.672e-11
9670	Reactive Nitrogen Species	172	4	168	820	17759837	17760657	0.02	0.00	503.7	1.609e-10
21412	Cell Survival	172	11	161	84639	17676018	17760657	0.06	0.00	13.4	1.005e-09
8758	Mitochondrial Diseases	172	4	168	1338	17759319	17760657	0.02	0.00	308.7	1.131e-09
9540	Nitric Oxide	172	9	163	51344	17709313	17760657	0.05	0.00	18.1	2.711e-09
1068	Cells, Cultured	172	18	154	337633	17423024	17760657	0.10	0.02	5.5	6.993e-09
9040	Disease Models, Animal	172	12	160	130525	17630132	17760657	0.07	0.01	9.5	7.928e-09
17851	Oxidants	172	5	167	7287	17753370	17760657	0.03	0.00	70.9	1.302e-08
17505	Enzyme Inhibitors	172	10	162	87140	17673517	17760657	0.06	0.00	11.8	1.879e-08
17885	Neurotoxins	172	5	167	8693	17751964	17760657	0.03	0.00	59.4	3.110e-08
8871	DNA Damage	172	7	165	32883	17727774	17760657	0.04	0.00	22.0	4.462e-08
17572	Excitatory Amino Acid Antagonists	172	5	167	10680	17749977	17760657	0.03	0.00	48.3	8.567e-08
12489	Cyclic N-Oxides	172	4	168	4122	17756535	17760657	0.02	0.00	100.2	9.925e-08
9489	Copper	172	7	165	39002	17721655	17760657	0.04	0.00	18.5	1.402e-07
