HGNC ID	Approved Symbol	Approved Name	Locus Type
2106	CMD1F	cardiomyopathy, dilated 1F (autosomal dominant)	phenotype only
2108	CMD1H	cardiomyopathy, dilated 1H (autosomal dominant)	phenotype only
14541	CMD1K	cardiomyopathy, dilated 1K (autosomal dominant)	phenotype only
32552	CMD1Q	cardiomyopathy, dilated 1Q (autosomal dominant)	phenotype only
2110	CMD2A	cardiomyopathy, dilated 2A (autosomal recessive)	phenotype only
2112	CMDJ	craniometaphyseal dysplasia, Jackson type (dominant)	phenotype only
2114	CMH2	cardiomyopathy, hypertrophic 2	phenotype only
2115	CMH3	cardiomyopathy, hypertrophic 3	phenotype only
2124	CMM	cutaneous malignant melanoma/dysplastic nevus	phenotype only
2126	CMR1A	cardiomyopathy, restrictive 1A (autosomal dominant)	phenotype only
2127	CMR2A	cardiomyopathy, restrictive 2A (autosomal recessive)	phenotype only
2128	CMR3A	cardiomyopathy, restrictive 3A (X-linked)	phenotype only
2129	CMT1A	Charcot-Marie-Tooth neuropathy 1A (greatly reduced nerve conduction velocity, hereditary motor sensory neuropathy Ia)	phenotype only
2132	CMT2B	Charcot-Marie-Tooth neuropathy 2B	phenotype only
2133	CMT4A	Charcot-Marie-Tooth neuropathy 4A	phenotype only
2137	CMTX2	Charcot-Marie-Tooth neuropathy, X-linked 2 (recessive)	phenotype only
2138	CMTX3	Charcot-Marie-Tooth neuropathy, X-linked 3 (dominant)	phenotype only
2139	CNA1	cornea plana 1 (autosomal dominant)	phenotype only
2141	CNC	Carney complex, multiple neoplasia and lentiginosis	phenotype only
2182	COD2	cone dystrophy 2 (X-linked)	phenotype only
2245	CORD1	cone rod dystrophy 1 (autosomal dominant)	phenotype only
2247	CORD4	cone rod dystrophy 4	phenotype only
2251	CORD8	cone rod dystrophy 8	phenotype only
15969	CORD9	cone rod dystrophy 9	phenotype only
20888	CORS2	cerebello-oculo-renal syndrome 2	phenotype only
30998	CPAT1	cerebral palsy, ataxic 1	phenotype only
2331	CPX	cleft palate and/or ankyloglossia	phenotype only
20574	CRAC1	colorectal adenoma and carcinoma 1	phenotype only
2354	CRG	CHARGE association	phenotype only
2369	CRS	craniosynostosis	phenotype only
2430	CSE	choreoathetosis/spasticity, episodic (paroxysmal choreoathetosis/spasticity)	phenotype only
2489	CTAA1	cataract, anterior polar 1	phenotype only
2490	CTAA2	cataract, anterior polar 2	phenotype only
2497	CTD	Coats disease	phenotype only
2502	CTHM	cono-truncal heart malformation	phenotype only
30997	CTPL1	cataract, pulverulent (autosomal recessive, early-onset)	phenotype only
2526	CTS1	carpal tunnel syndrome 1	phenotype only
2560	CXB3S	coxsackie virus B3 sensitivity	phenotype only
2587	CYMD	cystoid macular dystrophy	phenotype only
2733	DDU	dermo-distortive urticaria	phenotype only
2775	DFN2	deafness, X-linked 2, perceptive, congenital	phenotype only
2777	DFN4	deafness, X-linked 4, congenital sensorineural	phenotype only
2778	DFN5	deafness, X-linked 5	phenotype only
