HGNC ID	Approved Symbol	Approved Name	Locus Type
7286	MRX53	mental retardation, X-linked 53	phenotype only
7289	MRX56	mental retardation, X-linked 56	phenotype only
7290	MRX57	mental retardation, X-linked 57	phenotype only
7295	MRX61	mental retardation, X-linked 61	phenotype only
7296	MRX62	mental retardation, X-linked 62	phenotype only
7298	MRX64	mental retardation, X-linked 64	phenotype only
7299	MRX65	mental retardation, X-linked 65	phenotype only
7300	MRX66	mental retardation, X-linked 66	phenotype only
7301	MRX67	mental retardation, X-linked 67	phenotype only
7303	MRX69	mental retardation, X-linked 69	phenotype only
7305	MRX70	mental retardation, X-linked 70	phenotype only
13367	MRX71	mental retardation, X-linked 71	phenotype only
7306	MRX72	mental retardation, X-linked 72	phenotype only
7307	MRX73	mental retardation, X-linked 73	phenotype only
7308	MRX74	mental retardation, X-linked 74	phenotype only
7309	MRX75	mental retardation, X-linked 75	phenotype only
15824	MRX77	mental retardation, X-linked 77	phenotype only
17942	MRX78	mental retardation, X-linked 78	phenotype only
18872	MRX80	mental retardation, X-linked 80	phenotype only
19301	MRX81	mental retardation, X-linked 81	phenotype only
21626	MRX82	mental retardation, X-linked 82	phenotype only
25170	MRX85	mental retardation, X-linked 85	phenotype only
25212	MRX86	mental retardation, X-linked 86	phenotype only
8911	MRXS5	mental retardation, X-linked, syndromic 5	phenotype only
7313	MRXS7	mental retardation, X-linked, syndromic 7	phenotype only
18223	MRXS10	mental retardation, X-linked, syndromic 10	phenotype only
13865	MRXS11	mental retardation, X-linked, syndromic 11	phenotype only
7314	MS	multiple sclerosis	phenotype only
7322	MSD	microcephaly with spastic diplegia (Paine syndrome)	phenotype only
7379	MSSE	multiple self-healing squamous epithelioma	phenotype only
16401	MYMY1	moyamoya disease 1	phenotype only
21058	MYMY2	moyamoya disease 2	phenotype only
20769	MYMY3	moyamoya disease 3	phenotype only
7615	MYP1	myopia 1 (X-linked, Bornholm eye disease included)	phenotype only
7616	MYP2	myopia 2 (high grade, autosomal dominant)	phenotype only
7617	MYP3	myopia 3 (high grade, autosomal dominant)	phenotype only
24906	MYP11	myopia 11 (high grade, autosomal dominant)	phenotype only
32551	MYP12	myopia 12 (high grade, autosomal dominant)	phenotype only
32582	MYP13	myopia 13	phenotype only
7625	NA	neurocanthocytosis	phenotype only
7635	NAMSD	neuropathy, axonal, motor-sensory with deafness and mental retardation (Cowchock syndrome)	phenotype only
7822	NIDDM1	non-insulin-dependent diabetes mellitus (common, type 2) 1	phenotype only
7823	NIDDM2	non-insulin-dependent diabetes mellitus (common, type 2) 2	phenotype only
7832	NKS1	natural killer cell susceptibility 1	phenotype only
7841	NM	neutrophil migration	phenotype only
7862	NNO1	nanophthalmos 1	phenotype only
7903	NPHL1	nephrolithiasis 1 (X-linked)	phenotype only
8019	NSX	N syndrome (mental retardation, malformations, chromosome breakage)	phenotype only
8080	NYS2	nystagmus 2, congenital autosomal dominant	phenotype only
8081	NYS3	nystagmus 3, congenital autosomal dominant	phenotype only
19188	NYS4	nystagmus 4, congenital autosomal dominant	phenotype only
8084	OA3	ocular albinism 3 (autosomal recessive)	phenotype only
8085	OAP	osteoarthrosis, precocious	phenotype only
8102	OCD1	obsessive-compulsive disorder 1	phenotype only
8118	OED	Oregon eye disease	phenotype only
8121	OFC2	orofacial cleft 2	phenotype only
32786	OPA4	optic atrophy 4 (autosomal dominant)	phenotype only
32787	OPA5	optic atrophy 5 (autosomal dominant)	phenotype only
33170	OPA6	optic atrophy 6 (autosomal recessive)	phenotype only
33505	OPA7	optic atrophy 7 (autosomal dominant)	phenotype only
8519	OTSC1	otosclerosis 1	phenotype only
8520	OTSC2	otosclerosis 2	phenotype only
17831	OTSC3	otosclerosis 3	phenotype only
19981	OTSC4	otosclerosis 4	phenotype only
20238	OTSC5	otosclerosis 5	phenotype only
20375	OTSC6	otosclerosis 6	phenotype only
31084	OTSC7	otosclerosis 7	phenotype only
32939	OTSC8	otosclerosis 8	phenotype only
8531	P1	P one antigen (P blood group)	phenotype only
8566	PABX	pseudoautosomal boundary region, X-linked	phenotype only
8567	PABY	pseudoautosomal boundary region, Y-linked	phenotype only
8608	PARK3	Parkinson disease (autosomal dominant, Lewy body) 3	phenotype only
13794	PARK4	Parkinson disease (autosomal dominant, Lewy body) 4	phenotype only
17833	PARK10	Parkinson disease 10	phenotype only
17963	PARK11	Parkinson disease (autosomal recessive, early onset) 11	phenotype only
8625	PBCRA1	progressive bifocal chorioretinal atrophy 1	phenotype only
8645	PCAP	predisposing for prostate cancer	phenotype only
8726	PCLD	polycystic liver disease	phenotype only
8741	PCOS1	polycystic ovary syndrome 1	phenotype only
8758	PDB2	Paget disease of bone 2	phenotype only
17951	PDB5	Paget disease of bone 5	phenotype only
17952	PDB6	Paget disease of bone 6	phenotype only
8825	PEE1	preeclampsia/eclampsia 1	phenotype only
20094	PFM3	parietal foramina 3	phenotype only
8901	PGL2	paraganglioma or familial glomus tumors 2	phenotype only
8969	PIH	pregnancy-induced hypertension (pre-eclampsia, eclampsia, toxemia of pregnancy included)	phenotype only
9013	PKD3	polycystic kidney disease 3 (autosomal dominant)	phenotype only
9120	PMPS	Pearson marrow pancreas syndrome	phenotype only
9209	PORC	porphyria, acute; Chester type	phenotype only
23702	PPCD3	posterior polymorphous corneal dystrophy 3	phenotype only
15733	PPH2	primary pulmonary hypertension 2	phenotype only
9345	PRD	primary retinal dysplasia	phenotype only
9450	PRO1	progeria 1 (Hutchinson-Gilford type)	phenotype only
9471	PRS	Prieto X-linked mental retardation syndrome	phenotype only
9494	PRTH	pituitary resistance to thyroid hormone	phenotype only
9573	PSORS1	psoriasis susceptibility 1	phenotype only
9574	PSORS2	psoriasis susceptibility 2	phenotype only
9575	PSORS3	psoriasis susceptibility 3	phenotype only
17275	PSORS4	psoriasis susceptibility 4	phenotype only
17953	PSORS5	psoriasis susceptibility 5	phenotype only
33483	PSORS6	psoriasis susceptibility 6	phenotype only
14207	PSORS7	psoriasis susceptibility 7	phenotype only
17322	PSORS8	psoriasis susceptibility 8	phenotype only
31013	PSORS9	psoriasis susceptibility 9	phenotype only
31919	PSORS10	psoriasis susceptibility 10	phenotype only
9622	PTLAH	patella aplasia-hypoplasia	phenotype only
9631	PTOS1	ptosis, congenital 1 (autosomal dominant)	phenotype only
9929	RCA1	renal carcinoma, familial, associated 1	phenotype only
9930	RCD1	retinal cone dystrophy 1	phenotype only
9961	RENS2	Renpenning syndrome 2 (Renpenning-like syndrome)	phenotype only
10015	RIEG2	Rieger syndrome 2	phenotype only
10030	RMD1	rippling muscle disease 1	phenotype only
10286	RP6	retinitis pigmentosa 6 (X-linked recessive)	phenotype only
13434	RP21	retinitis pigmentosa 21	phenotype only
10276	RP22	retinitis pigmentosa 22 (autosomal recessive)	phenotype only
10277	RP23	retinitis pigmentosa 23 (X-linked recessive)	phenotype only
10278	RP24	retinitis pigmentosa 24 (X-linked recessive)	phenotype only
10279	RP25	retinitis pigmentosa 25 (autosomal recessive)	phenotype only
10281	RP28	retinitis pigmentosa 28 (autosomal recessive)	phenotype only
10282	RP29	retinitis pigmentosa 29 (autosomal recessive)	phenotype only
21902	RP32	retinitis pigmentosa 32 (autosomal recessive)	phenotype only
32383	RP33	retinitis pigmentosa 33 (autosomal dominant)	phenotype only
33161	RP34	retinitis pigmentosa 34 (X-linked recessive)	phenotype only
10462	RSS	Russell Silver syndrome	phenotype only
10523	SAI1	suppression of anchorage independence 1	phenotype only
16474	SAX1	spastic ataxia 1 (autosomal dominant)	phenotype only
13440	SCA9	spinocerebellar ataxia 9	phenotype only
17033	SCA19	spinocerebellar ataxia 19	phenotype only
17204	SCA20	spinocerebellar ataxia 20	phenotype only
17172	SCA21	spinocerebellar ataxia 21	phenotype only
17320	SCA22	spinocerebellar ataxia 22	phenotype only
19051	SCA23	spinocerebellar ataxia 23	phenotype only
20684	SCA25	spinocerebellar ataxia 25	phenotype only
31097	SCA26	spinocerebellar ataxia 26	phenotype only
27255	SCA28	spinocerebellar ataxia 28	phenotype only
33444	SCA29	spinocerebellar ataxia 29	phenotype only
2002	SCAR2	spinocerebellar ataxia, autosomal recessive 2	phenotype only
32976	SCAR3	spinocerebellar ataxia, autosomal recessive 3	phenotype only
32977	SCAR5	spinocerebellar ataxia, autosomal recessive 5	phenotype only
32978	SCAR7	spinocerebellar ataxia, autosomal recessive 7	phenotype only
19186	SCASI	spinocerebellar ataxia with saccadic intrusions	phenotype only
2003	SCAX1	spinocerebellar ataxia, X-linked 1	phenotype only
32973	SCAX2	spinocerebellar ataxia, X-linked 2	phenotype only
32974	SCAX3	spinocerebellar ataxia, X-linked 3	phenotype only
32975	SCAX4	spinocerebellar ataxia, X-linked 4	phenotype only
14431	SCCD	Schnyder crystalline corneal dystrophy	phenotype only
20805	SCKL2	Seckel syndrome 2	phenotype only
20806	SCKL3	Seckel syndrome 3	phenotype only
10649	SCZD1	schizophrenia disorder 1	phenotype only
10650	SCZD2	schizophrenia disorder 2	phenotype only
10651	SCZD3	schizophrenia disorder 3	phenotype only
10652	SCZD4	schizophrenia disorder 4	phenotype only
10653	SCZD5	schizophrenia disorder 5	phenotype only
10654	SCZD6	schizophrenia disorder 6	phenotype only
10655	SCZD7	schizophrenia disorder 7	phenotype only
10656	SCZD8	schizophrenia disorder 8	phenotype only
17338	SCZD9	schizophrenia disorder 9	phenotype only
17339	SCZD10	schizophrenia disorder 10 (periodic catatonia)	phenotype only
10692	SDU	skeletal dysplasia (unspecified)	phenotype only
10745	SEN2	senescence (cellular)-related 2	phenotype only
10746	SEN3	senescence (cellular)-related 3	phenotype only
10747	SEN6	senescence (cellular)-related 6	phenotype only
10748	SEN6A	senescence (cellular)-related 6A	phenotype only
10749	SEN6B	senescence (cellular)-related 6B	phenotype only
10815	SGM1	segmentation syndrome 1	phenotype only
11080	SLEB1	systemic lupus erythematosus susceptibility 1	phenotype only
11081	SLEB2	systemic lupus erythematosus susceptibility 2	phenotype only
14535	SLEB3	systemic lupus erythematosus susceptibility 3	phenotype only
17420	SLEH1	systemic lupus erythematosus with hemolytic anemia 1	phenotype only
18542	SLEN1	systemic lupus erythematosus with nephritis 1	phenotype only
18543	SLEN2	systemic lupus erythematosus with nephritis 2	phenotype only
18176	SLEV1	systemic lupus erythematosus, vitiligo-related 1	phenotype only
20975	SMAN1	survival of motor and autonomic neurons 1	phenotype only
23701	SNAX1	sensory ataxia 1 (autosomal dominant)	phenotype only
11232	SPG3B	spastic paraplegia 3B	phenotype only
11234	SPG5A	spastic paraplegia 5A (autosomal recessive)	phenotype only
11235	SPG5B	spastic paraplegia 5B (autosomal recessive)	phenotype only
11239	SPG9	spastic paraplegia 9 (autosomal dominant)	phenotype only
11227	SPG12	spastic paraplegia 12 (autosomal dominant)	phenotype only
13730	SPG14	spastic paraplegia 14 (autosomal recessive)	phenotype only
11229	SPG15	spastic paraplegia 15 (complicated, autosomal recessive)	phenotype only
14260	SPG16	spastic paraplegia 16 (complicated, X-linked recessive)	phenotype only
18009	SPG18	spastic paraplegia 18 (autosomal dominant)	phenotype only
16706	SPG19	spastic paraplegia 19 (autosomal dominant)	phenotype only
21340	SPG23	spastic paraplegia 23 (autosomal recessive)	phenotype only
22993	SPG24	spastic paraplegia 24 (autosomal recessive)	phenotype only
25855	SPG25	spastic paraplegia 25 (autosomal recessive, with disc herniation)	phenotype only
22494	SPG26	spastic paraplegia 26	phenotype only
26071	SPG27	spastic paraplegia 27 (autosomal recessive)	phenotype only
13682	SPG28	spastic paraplegia 28 (autosomal recessive)	phenotype only
30161	SPG29	spastic paraplegia 29 (autosomal dominant)	phenotype only
30017	SPG30	spastic paraplegia 30 (autosomal recessive)	phenotype only
32314	SPG32	spastic paraplegia 32 (autosomal recessive)	phenotype only
32944	SPG34	spastic paraplegia 34 (autosomal dominant)	phenotype only
32945	SPG35	spastic paraplegia 35 (autosomal recessive)	phenotype only
33240	SPG36	spastic paraplegia 36 (autosomal dominant)	phenotype only
33472	SPG37	spastic paraplegia 37 (autosomal dominant)	phenotype only
33485	SPG38	spastic paraplegia 38 (autosomal dominant, Silver syndrome)	phenotype only
11310	SRS	Snyder-Robinson X-linked mental retardation syndrome	phenotype only
11347	ST2	suppression of tumorigenicity 2	phenotype only
11348	ST3	suppression of tumorigenicity 3	phenotype only
11349	ST4	suppression of tumorigenicity 4 (malignant melanoma)	phenotype only
11352	ST8	suppression of tumorigenicity 8 (ovarian)	phenotype only
11384	STGD4	Stargardt disease 4 (autosomal dominant)	phenotype only
11493	SYM2	symphalangism 2 (distal)	phenotype only
11698	TDD	testicular 17,20-desmolase deficiency	phenotype only
20680	TELAB1	telangiectasia, benign 1	phenotype only
13466	TGCT1	testicular germ cell tumor susceptibility 1	phenotype only
11783	THAS	thoracoabdominal syndrome	phenotype only
11790	THC2	thrombocytopenia 2 (autosomal dominant)	phenotype only
11792	THM	thymoma	phenotype only
11833	TKCR	torticollis, keloids, cryptorchidism and renal dysplasia	phenotype only
11954	TNR1	Turner syndrome 1	phenotype only
11981	TOC	tylosis with oesophageal cancer	phenotype only
12302	TRICY1	trichilemmal cyst 1	phenotype only
12452	TYS	sclerotylosis	phenotype only
12521	UFS	urofacial syndrome	phenotype only
12595	USH1A	Usher syndrome 1A (autosomal recessive, severe)	phenotype only
12599	USH1E	Usher syndrome 1E (autosomal recessive, severe)	phenotype only
12602	USH2B	Usher syndrome 2B (autosomal recessive, mild)	phenotype only
12606	USH3B	Usher syndrome 3B	phenotype only
12664	VCF	velocardiofacial syndrome	phenotype only
12702	VMD1	vitelliform macular dystrophy, atypical	phenotype only
12720	VRNI	vitreoretinopathy, neovascular inflammatory	phenotype only
12728	VWS	Van der Woude syndrome	phenotype only
12740	WBS2	Williams-Beuren syndrome type 2	phenotype only
12763	WFS2	Wolfram syndrome 2	phenotype only
12793	WS2A	Waardenburg syndrome, type 2A	phenotype only
12794	WS2B	Waardenburg syndrome, type 2B	phenotype only
12795	WSN	Waisman syndrome	phenotype only
12798	WTS	Wilson-Turner X-linked mental retardation syndrome	phenotype only
12800	WWS	Wieacker-Wolff syndrome	phenotype only
12808	XGR	XG and CD99 regulator	phenotype only
12837	XS	X-linked suppressor of LU antigens	phenotype only
13197	ZWS1	Zellweger syndrome 1	phenotype only
